#Creator: pendulumviewEventBuffer
#Creation time: Mon Jan 22 20:34:45 2007
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	819	0.051	514
0.076	811	0.101	511
0.127	819	0.153	510
0.177	819	0.203	512
0.228	818	0.254	511
0.279	817	0.304	508
0.330	816	0.355	506
0.380	802	0.406	500
0.431	776	0.457	495
0.481	740	0.507	491
0.533	692	0.558	487
0.583	643	0.608	482
0.634	584	0.659	478
0.684	525	0.710	475
0.735	467	0.761	472
0.785	413	0.811	472
0.837	366	0.862	470
0.887	327	0.912	470
0.938	300	0.964	473
0.988	287	1.014	476
1.039	291	1.065	478
1.090	304	1.115	482
1.141	331	1.166	485
1.191	368	1.217	491
1.242	417	1.268	494
1.292	471	1.318	499
1.344	529	1.369	501
1.394	588	1.419	505
1.445	644	1.470	510
1.495	695	1.521	510
1.546	739	1.572	509
1.596	776	1.622	510
1.648	803	1.673	508
1.698	814	1.723	505
1.749	808	1.775	503
1.799	794	1.825	499
1.850	769	1.876	496
1.901	732	1.926	491
1.952	687	1.977	487
2.002	633	2.028	483
2.053	576	2.079	479
2.103	519	2.129	475
2.155	463	2.180	473
2.205	411	2.230	473
2.256	366	2.281	472
2.306	329	2.332	472
2.357	302	2.383	474
2.407	292	2.433	476
2.459	295	2.484	479
2.509	312	2.534	483
2.560	339	2.586	488
2.610	378	2.636	490
2.661	423	2.687	494
2.712	477	2.737	497
2.763	534	2.788	502
2.813	592	2.839	505
2.864	647	2.890	504
2.914	698	2.940	508
2.966	741	2.991	508
3.016	776	3.041	507
3.067	799	3.093	506
3.117	810	3.143	504
3.168	804	3.194	502
3.218	788	3.244	499
3.270	763	3.295	495
3.320	726	3.345	489
3.371	678	3.397	488
3.421	628	3.447	485
3.472	572	3.498	479
3.523	515	3.548	477
3.574	460	3.599	475
3.624	408	3.650	473
3.675	364	3.701	474
3.725	328	3.751	473
3.777	303	3.802	475
3.827	294	3.852	477
3.878	299	3.904	480
3.928	316	3.954	483
3.979	345	4.005	488
4.029	381	4.055	489
4.081	431	4.106	495
4.131	484	4.156	497
4.182	541	4.208	498
4.232	597	4.258	503
4.283	652	4.309	505
4.334	700	4.359	507
4.385	743	4.410	508
4.435	776	4.461	506
4.486	798	4.512	504
4.536	804	4.562	503
4.588	799	4.613	501
4.638	783	4.663	500
4.689	758	4.715	494
4.739	719	4.765	491
4.790	672	4.816	490
4.840	620	4.866	483
4.892	566	4.917	479
4.942	508	4.967	477
4.993	455	5.019	476
5.043	401	5.069	475
5.094	363	5.120	475
5.145	329	5.170	475
5.196	305	5.221	476
5.246	299	5.272	480
5.297	305	5.323	481
5.347	322	5.373	485
5.399	351	5.424	487
5.449	390	5.474	491
5.500	437	5.526	494
5.550	491	5.576	497
5.601	546	5.627	500
5.651	601	5.677	503
5.703	655	5.728	505
5.753	703	5.778	505
5.804	740	5.830	506
5.854	774	5.880	504
5.905	794	5.931	505
5.956	800	5.981	503
6.007	793	6.032	499
6.057	777	6.083	497
6.108	749	6.134	491
6.158	710	6.184	490
6.210	666	6.235	487
6.260	613	6.285	484
6.311	559	6.337	482
6.361	504	6.387	479
6.412	450	6.438	478
6.462	402	6.488	477
6.514	361	6.539	478
6.564	327	6.589	479
6.615	307	6.641	476
6.665	301	6.691	480
6.716	310	6.742	483
6.768	327	6.792	485
6.818	357	6.843	488
6.869	396	6.894	491
6.919	443	6.945	494
6.970	497	6.995	497
7.021	551	7.046	500
7.072	607	7.096	502
7.122	659	7.148	503
7.173	705	7.198	505
7.223	743	7.249	504
7.275	773	7.299	505
7.325	791	7.350	503
7.376	795	7.400	501
7.426	788	7.452	500
7.477	771	7.502	494
7.527	742	7.553	494
7.579	704	7.603	490
7.629	657	7.654	488
7.680	605	7.705	485
7.730	551	7.756	484
7.781	497	7.806	481
7.832	446	7.857	479
7.883	398	7.907	479
7.933	359	7.959	478
7.984	327	8.009	480
8.034	309	8.060	481
8.086	305	8.110	482
8.136	313	8.161	484
8.187	332	8.211	486
8.237	364	8.263	489
8.288	403	8.313	492
8.338	451	8.364	495
8.390	502	8.414	497
8.440	557	8.465	499
8.491	610	8.516	501
8.541	663	8.567	502
8.592	706	8.617	503
8.643	744	8.668	502
8.694	773	8.718	502
8.744	790	8.770	503
8.795	792	8.820	500
8.845	783	8.871	497
8.897	765	8.921	499
8.947	736	8.972	493
8.998	698	9.022	492
9.048	650	9.074	489
9.099	598	9.124	486
9.149	546	9.175	484
9.201	490	9.225	483
9.251	439	9.276	481
9.302	395	9.327	480
9.352	355	9.378	480
9.403	326	9.428	481
9.454	310	9.479	482
9.505	307	9.529	483
9.555	315	9.581	484
