#Creator: pendulumviewEventBuffer
#Creation time: Mon Jan 22 17:58:34 2007
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	694	0.050	799
0.076	693	0.101	799
0.126	692	0.151	800
0.177	693	0.203	799
0.227	686	0.253	785
0.278	667	0.304	769
0.329	641	0.354	744
0.380	605	0.405	716
0.430	565	0.455	676
0.481	520	0.507	638
0.531	472	0.557	599
0.582	425	0.608	567
0.633	380	0.658	533
0.684	337	0.709	502
0.734	301	0.760	481
0.785	280	0.811	465
0.835	263	0.861	459
0.887	258	0.912	461
0.937	265	0.962	472
0.988	282	1.014	491
1.038	310	1.064	516
1.089	346	1.115	553
1.140	389	1.165	578
1.191	437	1.216	619
1.241	485	1.266	660
1.292	533	1.318	696
1.342	578	1.368	726
1.393	618	1.419	754
1.444	651	1.469	775
1.495	677	1.520	788
1.545	687	1.571	792
1.596	688	1.622	790
1.646	680	1.672	781
1.698	661	1.723	763
1.748	632	1.773	740
1.799	596	1.825	705
1.849	554	1.875	674
1.900	506	1.926	635
1.951	459	1.976	600
2.002	412	2.027	564
2.052	369	2.077	531
2.103	331	2.129	504
2.153	298	2.179	482
2.204	274	2.230	468
2.255	264	2.280	462
2.306	263	2.331	466
2.357	269	2.382	479
2.407	292	2.433	494
2.458	321	2.483	518
2.509	357	2.534	549
2.560	399	2.584	583
2.610	444	2.636	619
2.661	492	2.686	657
2.711	537	2.737	691
2.763	583	2.787	723
2.813	619	2.838	751
2.864	651	2.889	770
2.914	671	2.940	784
2.965	683	2.990	788
3.015	683	3.041	786
3.067	673	3.091	776
3.117	655	3.142	761
3.168	624	3.193	734
3.218	588	3.244	704
3.269	546	3.294	668
3.320	499	3.345	633
3.371	452	3.395	598
3.421	406	3.447	561
3.472	364	3.497	529
3.522	326	3.548	501
3.574	295	3.598	480
3.624	273	3.649	468
3.675	265	3.700	462
3.725	266	3.751	465
3.776	276	3.801	477
3.826	298	3.852	495
3.878	328	3.902	522
3.928	365	3.953	553
3.979	407	4.004	587
4.029	456	4.055	621
4.080	500	4.105	657
4.131	549	4.156	690
4.182	591	4.206	722
4.232	623	4.258	748
4.283	652	4.308	768
4.333	671	4.359	778
4.385	679	4.409	784
4.435	678	4.460	781
4.486	666	4.511	770
4.536	644	4.562	754
4.587	613	4.612	729
4.637	576	4.663	701
4.689	533	4.713	666
4.739	487	4.764	631
4.790	440	4.815	595
4.840	399	4.866	560
4.891	357	4.916	528
4.942	321	4.967	501
4.993	298	5.017	480
5.043	277	5.069	468
5.094	270	5.119	463
5.144	272	5.170	467
5.196	285	5.220	475
5.246	307	5.271	499
5.297	339	5.322	521
5.347	375	5.373	550
5.398	417	5.424	584
5.449	463	5.474	619
5.500	506	5.525	656
5.550	553	5.575	687
5.601	592	5.627	721
5.651	626	5.677	746
5.702	651	5.728	762
5.753	669	5.778	776
5.804	674	5.829	782
5.854	671	5.880	776
5.905	659	5.931	767
5.955	636	5.981	746
6.007	605	6.032	724
6.057	568	6.082	695
6.108	521	6.134	661
6.158	478	6.184	626
6.209	436	6.235	591
6.260	391	6.285	556
6.311	350	6.336	525
6.361	318	6.386	499
6.412	293	6.438	479
6.462	279	6.488	465
6.513	272	6.539	462
6.564	277	6.589	464
6.615	292	6.640	475
6.665	316	6.691	497
6.716	347	6.742	522
6.766	384	6.792	552
6.818	428	6.843	585
6.868	471	6.893	621
6.919	516	6.945	658
6.969	560	6.995	690
7.020	596	7.046	719
7.071	628	7.096	745
7.122	650	7.147	762
7.172	664	7.197	771
7.223	669	7.249	778
7.273	664	7.299	776
7.324	648	7.350	766
7.375	624	7.400	746
7.426	593	7.451	721
7.476	555	7.502	691
7.527	514	7.553	659
7.577	470	7.603	622
7.629	430	7.654	587
7.679	382	7.704	552
7.730	350	7.756	522
7.780	318	7.806	496
7.831	294	7.857	476
7.882	283	7.907	464
7.933	279	7.958	462
7.983	285	8.009	464
8.034	300	8.060	476
8.084	324	8.110	496
8.135	357	8.161	522
8.186	395	8.211	553
8.237	435	8.262	586
8.288	479	8.313	622
8.338	519	8.364	657
8.389	559	8.414	692
8.440	595	8.465	720
8.491	625	8.515	746
8.541	648	8.567	761
8.592	660	8.617	772
8.642	661	8.668	776
8.694	657	8.718	772
8.744	638	8.769	761
8.795	616	8.820	740
8.845	586	8.871	716
8.896	547	8.921	686
8.946	505	8.972	653
8.998	465	9.022	617
9.048	421	9.073	583
9.099	381	9.124	553
9.149	346	9.175	518
9.200	316	9.225	494
9.251	298	9.276	474
9.302	286	9.326	463
9.352	284	9.378	459
9.403	290	9.428	462
9.453	308	9.479	478
9.505	333	9.529	498
9.555	366	9.580	523
9.606	403	9.631	554
9.656	444	9.682	588
9.707	485	9.732	624
9.757	527	9.783	656
9.809	564	9.833	691
9.859	598	9.884	721
9.910	625	9.935	744
9.960	645	9.986	761
10.011	653	10.036	773
10.062	655	10.087	773
10.113	647	10.137	770
10.163	632	10.189	757
10.214	606	10.239	738
10.264	572	10.290	712
10.316	535	10.340	681
10.366	495	10.391	647
10.417	456	10.442	613
10.467	418	10.493	576
10.518	379	10.543	543
10.569	346	10.594	516
10.620	319	10.644	489
10.670	299	10.695	473
10.721	291	10.746	461
10.771	290	10.797	462
10.822	298	10.847	464
10.873	316	10.898	478
10.924	341	10.948	498
10.974	373	11.000	525
11.025	410	11.050	557
11.075	446	11.101	591
11.127	492	11.151	627
11.177	528	11.202	662
11.228	566	11.253	694
11.278	597	11.304	724
11.329	624	11.355	743
11.380	640	11.405	762
11.431	648	11.456	774
11.481	651	11.506	769
11.532	639	11.558	766
11.582	623	11.608	753
11.633	597	11.659	734
11.684	566	11.709	706
11.735	532	11.760	676
11.785	491	11.811	641
11.836	450	11.862	606
11.886	414	11.912	570
11.938	375	11.963	538
11.988	343	12.013	507
12.039	320	12.065	489
12.089	303	12.115	464
12.140	297	12.166	456
12.191	296	12.216	458
12.242	307	12.267	464
12.292	325	12.317	479
12.343	348	12.369	500
12.393	382	12.419	525
12.444	413	12.470	560
12.495	455	12.520	595
12.546	496	12.571	632
12.596	533	12.622	664
12.647	564	12.673	696
12.697	597	12.723	725
12.749	618	12.774	748
12.799	635	12.824	758
12.850	640	12.876	772
12.900	641	12.926	770
12.951	630	12.977	765
13.002	613	13.027	748
13.053	587	13.078	728
13.103	558	13.129	702
13.154	524	13.180	669
13.204	484	13.230	635
13.255	447	13.281	600
13.306	409	13.331	565
13.357	375	13.382	533
13.407	345	13.433	504
13.458	323	13.484	482
13.508	307	13.534	463
13.560	301	13.585	452
13.610	303	13.635	458
13.661	310	13.687	465
13.711	333	13.737	481
13.762	359	13.788	503
13.813	386	13.838	532
13.864	422	13.889	564
13.914	459	13.940	598
13.965	498	13.991	635
14.015	533	14.041	668
14.066	567	14.092	701
14.117	595	14.142	727
14.168	616	14.193	750
14.218	630	14.244	761
14.269	636	14.295	764
14.319	635	14.345	769
14.371	625	14.396	759
14.421	604	14.446	746
14.472	582	14.498	724
14.522	549	14.548	696
14.573	516	14.599	662
14.624	478	14.649	629
14.675	443	14.700	591
14.725	404	14.751	559
14.776	375	14.802	525
14.826	347	14.852	498
14.877	325	14.903	476
14.928	314	14.953	464
14.979	306	15.004	456
15.029	308	15.055	458
15.080	317	15.106	468
15.130	337	15.156	483
15.182	363	15.207	507
15.232	391	15.257	536
15.283	426	15.309	569
15.333	465	15.359	603
15.384	496	15.410	640
15.435	534	15.460	674
15.486	565	15.511	705
15.536	592	15.562	728
15.587	612	15.613	749
15.637	623	15.663	763
15.689	629	15.714	767
15.739	628	15.764	766
15.790	617	15.815	756
15.840	598	15.866	741
15.891	576	15.917	716
15.941	546	15.967	689
15.993	512	16.018	656
16.043	474	16.068	623
16.094	440	16.120	585
16.144	405	16.170	553
16.195	375	16.221	519
16.246	347	16.271	497
16.297	329	16.322	469
16.347	317	16.373	466
16.398	312	16.424	456
16.448	313	16.474	459
16.500	322	16.525	470
16.550	342	16.575	487
16.601	368	16.626	512
16.651	397	16.677	541
16.702	430	16.728	574
16.752	464	16.778	610
16.804	499	16.829	645
16.854	535	16.879	673
16.905	564	16.931	706
16.955	589	16.981	733
17.006	608	17.032	749
17.057	620	17.082	763
17.108	625	17.133	765
17.158	618	17.184	764
17.209	611	17.235	751
17.259	593	17.285	734
17.311	569	17.336	710
17.361	537	17.386	681
17.412	507	17.437	649
17.462	472	17.488	612
17.513	438	17.539	577
17.563	406	17.589	547
17.615	374	17.640	514
17.665	350	17.690	489
17.716	331	17.742	474
17.766	321	17.792	460
17.817	315	17.843	457
17.868	317	17.893	462
17.919	329	17.944	473
17.969	343	17.995	490
18.020	370	18.046	518
18.070	400	18.096	547
18.122	432	18.147	578
18.172	467	18.197	614
18.223	501	18.249	647
18.273	532	18.299	680
18.324	562	18.350	710
18.374	587	18.400	736
18.426	605	18.451	749
18.476	617	18.501	760
18.527	618	18.553	762
18.577	618	18.603	758
18.628	608	18.654	747
18.679	592	18.704	727
18.730	564	18.755	703
18.780	535	18.806	673
18.831	505	18.857	641
18.881	470	18.907	603
18.933	436	18.958	575
18.983	404	19.008	542
19.034	374	19.060	510
19.084	350	19.110	486
19.135	334	19.161	469
19.185	321	19.211	460
19.237	319	19.262	458
19.287	320	19.312	464
19.338	334	19.364	477
19.388	349	19.414	498
19.439	374	19.465	523
19.490	403	19.515	554
19.541	434	19.566	587
19.591	467	19.617	621
19.642	500	19.668	654
19.692	532	19.718	684
19.744	560	19.769	715
19.794	584	19.819	734
19.845	604	19.871	750
19.895	613	19.921	759
19.946	617	19.972	760
19.996	612	20.022	753
20.048	604	20.073	741
20.098	585	20.123	721
20.149	561	20.175	697
20.199	533	20.225	664
20.250	500	20.276	631
20.302	469	20.326	600
20.352	435	20.377	564
20.403	405	20.428	530
20.453	375	20.479	506
20.504	352	20.529	484
20.555	335	20.580	468
20.606	323	20.630	462
20.656	320	20.682	460
20.707	319	20.732	468
20.757	334	20.783	482
20.809	354	20.833	503
20.859	377	20.884	529
20.910	404	20.934	561
20.960	436	20.986	596
21.011	469	21.036	630
21.061	501	21.087	658
21.113	531	21.137	691
21.163	557	21.188	716
21.214	583	21.239	735
21.264	601	21.290	749
21.315	609	21.340	756
21.366	613	21.391	756
21.417	606	21.441	749
21.467	598	21.493	731
21.518	578	21.543	713
21.568	556	21.594	688
21.620	529	21.644	658
21.670	499	21.695	622
21.721	466	21.745	594
21.771	432	21.797	560
21.822	403	21.847	529
21.872	375	21.898	503
21.924	354	21.948	483
21.974	334	21.999	469
22.025	330	22.050	462
22.075	325	22.101	463
22.126	329	22.151	473
22.177	337	22.202	489
22.228	356	22.252	510
22.278	379	22.304	536
22.329	406	22.354	567
22.379	438	22.405	600
22.431	469	22.455	633
22.481	501	22.506	664
22.532	532	22.556	693
22.582	559	22.608	717
22.633	581	22.658	736
22.683	598	22.709	748
22.735	609	22.759	752
22.785	612	22.810	753
22.836	607	22.861	742
22.886	595	22.912	727
22.937	578	22.962	706
22.988	554	23.013	679
23.039	527	23.063	647
23.089	496	23.115	619
23.140	465	23.165	588
23.190	432	23.216	554
23.242	401	23.266	524
23.292	375	23.317	500
23.343	353	23.367	482
23.393	334	23.419	469
23.444	326	23.470	465
23.494	324	23.520	468
23.546	328	23.571	477
23.596	338	23.621	493
23.647	357	23.673	518
23.697	380	23.723	544
23.748	408	23.774	576
23.799	439	23.824	607
23.850	472	23.875	638
23.900	502	23.926	669
23.951	532	23.977	695
24.001	558	24.027	718
24.053	582	24.078	735
24.103	597	24.128	744
24.154	605	24.180	750
24.204	610	24.230	744
24.255	604	24.281	736
24.305	593	24.331	720
24.357	576	24.382	698
24.407	551	24.432	670
24.458	523	24.484	641
24.508	493	24.534	611
24.559	462	24.585	582
24.610	430	24.635	548
24.661	399	24.686	522
24.711	372	24.737	496
24.762	354	24.788	482
24.812	337	24.838	472
24.864	324	24.889	468
24.914	323	24.939	471
24.965	327	24.991	483
25.015	340	25.041	502
25.066	359	25.092	522
25.116	384	25.142	549
25.168	410	25.193	580
25.218	442	25.243	611
25.269	473	25.295	642
25.319	505	25.345	670
25.370	537	25.396	699
25.421	561	25.446	717
25.472	584	25.497	733
25.522	594	25.548	742
25.573	606	25.599	745
25.623	608	25.649	741
25.675	603	25.700	730
25.725	591	25.750	717
25.776	573	25.802	692
25.826	549	25.852	664
25.877	520	25.903	634
25.927	490	25.953	606
25.979	457	26.004	573
26.029	428	26.054	544
26.080	397	26.106	519
26.130	371	26.156	497
26.181	350	26.207	484
26.232	334	26.257	474
26.283	325	26.308	474
26.333	324	26.359	476
26.384	329	26.410	489
26.434	341	26.460	508
26.486	360	26.511	527
26.536	384	26.561	557
26.587	411	26.613	580
26.637	443	26.663	616
26.688	474	26.714	646
26.738	505	26.764	672
26.790	533	26.815	697
26.840	563	26.865	717
26.891	581	26.917	731
26.941	597	26.967	738
26.992	607	27.018	739
27.043	608	27.068	736
27.094	602	27.119	724
27.145	588	27.170	703
27.195	571	27.221	685
27.246	546	27.271	656
27.297	517	27.322	628
27.348	487	27.372	599
27.398	454	27.424	569
27.449	424	27.474	542
27.499	392	27.525	516
27.551	369	27.575	497
27.601	349	27.626	489
27.652	333	27.676	476
27.702	324	27.728	477
27.753	323	27.778	485
27.803	329	27.829	491
27.855	343	27.879	517
27.905	362	27.930	537
27.956	386	27.981	562
28.006	418	28.032	591
28.057	446	28.082	620
28.108	478	28.133	647
28.159	508	28.183	675
28.209	536	28.235	698
28.260	566	28.285	715
28.310	585	28.336	726
28.362	597	28.386	736
28.412	605	28.437	735
28.463	609	28.487	729
28.513	597	28.539	713
28.564	586	28.589	697
28.614	567	28.640	675
28.666	545	28.690	650
28.716	514	28.741	622
28.767	482	28.792	594
28.817	454	28.843	565
28.868	421	28.893	539
28.919	389	28.944	516
28.970	365	28.994	498
29.020	345	29.046	485
29.071	330	29.096	480
29.121	323	29.147	479
