#Creator: pendulumviewEventBuffer
#Creation time: Mon Jan 22 17:58:34 2007
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	778	0.050	499 -
0.076	776	0.101	499
0.126	777	0.152	500
0.177	759	0.203	500
0.227	733	0.253	500
0.279	686	0.304	500
0.329	599	0.354	500
0.380	548	0.406	497
0.430	486	0.456	502
0.481	420	0.507	504
0.532	356	0.557	503
0.583	292	0.608	500
0.633	235	0.659	506
0.684	198	0.710	501
0.734	166	0.760	500
0.786	154	0.811	501
0.836	166	0.861	501
0.887	214	0.912	501
0.937	257	0.963	500
0.988	288	1.014	499
1.038	339	1.064	499
1.090	390	1.115	497
1.140	448	1.165	499
1.191	508	1.217	501
1.241	562	1.267	498
1.292	613	1.318	500
1.343	656	1.368	496
1.394	697	1.419	500
1.444	721	1.470	499
1.495	736	1.521	500 -
1.545	709	1.571	500
1.597	676	1.622	499
1.647	640	1.672	501
1.698	619	1.723	500
1.748	565	1.774	501
1.799	530	1.825	500
1.849	478	1.875	501
1.901	432	1.926	501
1.951	374	1.976	501
2.002	321	2.028	501
2.052	271	2.078	500
2.103	231	2.129	501
2.154	204	2.179	498
2.205	195	2.230	501
2.255	200	2.281	500
2.306	230	2.332	499
2.356	252	2.382	499
2.408	281	2.433	501
2.458	337	2.483	498
2.509	385	2.534	498
2.559	436	2.585	499
2.610	490	2.636	499
2.660	546	2.686	497
2.712	599	2.737	499
2.762	639	2.787	500
2.813	675	2.839	500
2.863	691	2.889	499
2.914	694	2.940	500 -
2.965	685	2.990	501
3.016	671	3.041	499
3.066	654	3.092	501
3.117	623	3.143	498
3.167	582	3.193	498
3.219	528	3.244	502
3.269	459	3.294	502
3.320	412	3.346	501
3.370	362	3.396	502
3.421	310	3.447	501
3.471	277	3.497	502
3.523	242	3.548	501
3.573	227	3.598	501
3.624	223	3.650	499
3.674	228	3.700	495
3.725	249	3.751	504
3.776	274	3.801	501
3.827	302	3.852	502
3.877	340	3.903	499
3.928	386	3.954	499
3.978	440	4.004	498
4.030	497	4.055	499
4.080	540	4.105	499
4.131	582	4.157	499
4.181	623	4.207	498
4.232	647	4.258	500
4.282	659	4.308	500
4.334	661	4.359	499 -
4.384	656	4.409	500
4.435	641	4.461	500
4.485	628	4.511	502
4.536	600	4.562	503
4.587	565	4.612	502
4.638	514	4.663	502
4.688	462	4.714	499
4.739	419	4.765	501
4.789	372	4.815	501
4.841	329	4.866	499
4.891	293	4.916	502
4.942	267	4.968	500
4.992	250	5.018	495
5.043	242	5.069	499
5.093	246	5.119	500
5.145	260	5.170	499
5.195	281	5.220	498
5.246	308	5.272	498
5.296	343	5.322	497
5.347	386	5.373	496
5.398	434	5.423	498
5.449	486	5.474	498
5.499	532	5.525	500
5.550	572	5.576	499
5.600	603	5.626	498
5.652	626	5.677	499
5.702	640	5.727	501
5.753	646	5.779	499-
5.803	644	5.829	497
5.854	632	5.880	502
5.904	614	5.930	502
5.956	589	5.981	500
6.006	557	6.031	502
6.057	516	6.083	503
6.107	472	6.133	502
6.158	427	6.184	500
6.209	381	6.234	502
6.260	340	6.285	497
6.310	309	6.336	506
6.361	283	6.387	501
6.411	268	6.437	500
6.463	262	6.488	499
6.513	263	6.538	498
6.564	278	6.590	500
6.614	296	6.640	499
6.665	323	6.691	497
6.715	353	6.741	500
6.767	393	6.792	498
6.817	433	6.842	499
6.868	474	6.894	498
6.918	515	6.944	499
6.969	551	6.995	504
7.021	578	7.045	501
7.071	602	7.096	501
7.122	617	7.147	502
7.172	625	7.198	502
7.223	623	7.248	503
7.274	616	7.299	503
7.325	600	7.349	503
7.375	578	7.401	500
7.426	545	7.451	502
7.476	509	7.502	498
7.528	471	7.552	499
7.578	430	7.603	500
7.629	391	7.653	505
7.679	355	7.705	501
7.730	326	7.755	497
7.780	300	7.806	500
7.832	286	7.856	499
7.882	278	7.907	500
7.933	279	7.958	501
7.983	289	8.009	498
8.034	309	8.059	498
8.085	333	8.110	498
8.136	361	8.160	497
8.186	396	8.212	500
8.237	434	8.262	500
8.287	473	8.313	500
8.339	510	8.363	500
8.389	546	8.414	500
8.440	572	8.464	500
8.490	592	8.516	502
8.541	604	8.566	502
8.591	612	8.617	502
8.643	610	8.667	503
8.693	603	8.718	504
8.744	589	8.769	502
8.794	566	8.820	501
8.845	537	8.870	500
8.896	504	8.921	501
8.947	468	8.971	503
8.997	432	9.023	502
9.048	394	9.073	501
9.098	360	9.124	501
9.150	331	9.174	500
9.200	310	9.225	500
9.251	294	9.275	499
9.301	289	9.327	500
9.352	290	9.377	497
9.402	300	9.428	498
9.454	317	9.478	500
9.504	338	9.529	495
9.555	367	9.580	498
9.605	399	9.631	499
9.656	435	9.681	499
9.707	471	9.732	500
9.758	500	9.782	499
9.808	542	9.834	501
9.859	565	9.884	501
9.909	582	9.935	501
9.961	599	9.985	502
10.011	605	10.036	500
10.062	605	10.086	503
10.112	594	10.138	502
10.163	580	10.189	504
10.213	559	10.239	499
10.265	530	10.290	502
10.315	500	10.340	502
10.366	465	10.392	502
10.416	431	10.442	501
10.467	398	10.493	501
10.518	364	10.543	500
10.569	340	10.594	502
10.619	318	10.645	500
10.670	305	10.696	502
10.720	297	10.746	499
10.772	299	10.797	501
10.822	309	10.847	497
10.873	324	10.899	498
10.923	341	10.949	498
10.974	374	11.000	499
11.024	404	11.050	499
11.076	436	11.101	500
11.126	472	11.151	500
11.177	504	11.203	501
11.227	533	11.253	502
11.278	558	11.304	498
11.329	576	11.354	503
11.380	589	11.405	503
11.430	594	11.456	504
11.481	594	11.507	503
11.531	585	11.557	505
11.583	572	11.608	501
11.633	552	11.658	503
11.684	527	11.710	503
11.734	494	11.760	502
11.785	463	11.811	503
11.835	431	11.861	501
11.887	397	11.912	496
11.937	370	11.962	500
11.988	344	12.014	499
12.038	326	12.064	502
12.089	311	12.115	497
12.140	306	12.165	500
12.191	307	12.216	498
12.241	317	12.267	499
12.292	328	12.318	499
12.342	351	12.368	499
12.394	376	12.419	499
12.444	403	12.469	499
12.495	439	12.521	500
12.545	470	12.571	499
12.596	500	12.622	499
12.646	529	12.672	503
12.698	551	12.723	501
12.748	569	12.773	503
12.799	582	12.825	503
12.849	586	12.875	503
12.900	588	12.926	503
12.951	578	12.976	504
13.002	566	13.027	503
13.052	541	13.078	504
13.103	521	13.129	502
13.153	493	13.179	499
13.205	459	13.230	502
13.255	430	13.280	498
13.306	399	13.332	503
13.356	372	13.382	497
13.407	348	13.433	499
