#Creator: pendulumEventBuffer
#Creation time: Thu Apr  3 11:42:21 2025
#Time	Period	Transit time
#[s]	[s]	[s]
1.998589	2.131392	0.013834
3.064242	2.131244	0.013876
4.129833	2.131118	0.013914
5.195360	2.130981	0.013952
6.260814	2.130855	0.013992
7.326215	2.130753	0.014034
8.391567	2.130637	0.014074
9.456852	2.130517	0.014112
10.522084	2.130412	0.014152
11.587264	2.130284	0.014192
12.652368	2.130150	0.014232
13.717414	2.130042	0.014272
14.782410	2.129923	0.014312
15.847337	2.129812	0.014354
16.912222	2.129712	0.014392
17.977049	2.129607	0.014430
19.041829	2.129493	0.014470
20.106542	2.129374	0.014508
21.171203	2.129256	0.014550
22.235798	2.129142	0.014592
23.300345	2.129023	0.014634
24.364821	2.128894	0.014674
25.429239	2.128801	0.014714
26.493622	2.128723	0.014756
27.557962	2.128588	0.014796
28.622210	2.128439	0.014836
29.686401	2.128373	0.014878
30.750583	2.128328	0.014918
31.814729	2.128241	0.014958
32.878824	2.128126	0.015000
33.942855	2.128011	0.015038
35.006835	2.127924	0.015078
36.070779	2.127807	0.015122
37.134642	2.127692	0.015164
38.198471	2.127623	0.015206
39.262265	2.127530	0.015246
40.326001	2.127403	0.015286
41.389668	2.127301	0.015328
42.453302	2.127207	0.015372
43.516875	2.127104	0.015414
44.580406	2.127019	0.015456
45.643894	2.126930	0.015500
46.707336	2.126813	0.015540
47.770707	2.126696	0.015582
48.834032	2.126619	0.015628
49.897326	2.126552	0.015672
50.960584	2.126440	0.015716
52.023766	2.126325	0.015760
53.086909	2.126237	0.015802
54.150003	2.126144	0.015846
55.213053	2.126071	0.015890
56.276074	2.125995	0.015932
57.339048	2.125898	0.015976
58.401972	2.125821	0.016020
59.464869	2.125756	0.016062
60.527728	2.125655	0.016104
61.590524	2.125553	0.016148
62.653281	2.125467	0.016194
63.715991	2.125396	0.016238
