#Creator: pendulumviewEventBuffer
#Creation time: Mon Jan 22 17:58:34 2007
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	551	0.050	476
0.076	515	0.101	503
0.127	470	0.152	538
0.177	429	0.203	573
0.228	384	0.253	610
0.279	353	0.304	646
0.330	310	0.354	680
0.380	289	0.406	710
0.431	274	0.456	732
0.481	271	0.507	747
0.533	275	0.557	754
0.583	291	0.608	755
0.634	315	0.659	746
0.684	346	0.710	729
0.735	387	0.760	704
0.785	428	0.811	677
0.837	473	0.861	643
0.887	518	0.912	608
0.938	560	0.963	573
0.988	592	1.014	539
1.039	622	1.064	508
1.090	641	1.115	483
1.141	649	1.165	464
1.191	646	1.217	454
1.242	637	1.267	452
1.292	616	1.318	458
1.344	587	1.368	472
1.394	550	1.419	492
1.445	509	1.470	518
1.495	466	1.521	548
1.546	422	1.572	581
1.596	377	1.622	614
1.648	337	1.673	649
1.698	304	1.723	681
1.749	281	1.775	704
1.799	267	1.825	723
1.850	265	1.876	739
1.901	271	1.926	743
1.952	288	1.977	737
2.002	313	2.028	732
2.053	348	2.079	715
2.103	389	2.129	691
2.155	432	2.180	663
2.205	479	2.230	633
2.256	523	2.282	601
2.306	565	2.332	566
2.357	602	2.383	535
2.408	626	2.433	508
2.459	647	2.484	488
2.509	652	2.534	472
2.560	651	2.586	460
2.610	641	2.636	464
2.661	619	2.687	469
2.712	588	2.737	485
2.763	549	2.788	505
2.813	509	2.839	531
2.864	461	2.890	560
2.914	416	2.940	591
2.966	369	2.991	623
3.016	334	3.041	652
3.067	300	3.093	680
3.117	272	3.143	701
3.168	260	3.194	713
3.219	258	3.244	727
3.270	265	3.295	729
3.320	283	3.345	728
3.371	311	3.397	715
3.421	346	3.447	697
3.472	387	3.498	676
3.523	433	3.548	649
3.574	480	3.599	621
3.624	528	3.650	590
3.675	569	3.701	558
3.725	606	3.751	531
3.777	633	3.802	509
3.827	651	3.852	490
3.878	658	3.904	479
3.928	656	3.954	474
3.979	644	4.005	476
4.030	620	4.055	484
4.081	589	4.106	500
4.131	550	4.156	518
4.182	507	4.208	545
4.232	461	4.258	573
4.283	412	4.309	601
4.334	370	4.359	631
4.385	330	4.410	656
4.435	295	4.461	680
4.486	270	4.512	699
4.536	257	4.562	713
4.588	254	4.613	719
4.638	262	4.663	717
4.689	281	4.715	712
4.739	311	4.765	700
4.790	347	4.816	683
4.841	387	4.866	659
4.892	432	4.917	634
4.942	484	4.968	607
4.993	528	5.019	578
5.043	570	5.069	551
5.094	607	5.120	526
5.145	635	5.170	507
5.196	655	5.221	492
5.247	661	5.272	484
5.297	657	5.323	485
5.348	646	5.373	488
5.399	620	5.424	497
5.450	589	5.474	514
5.500	551	5.526	534
5.551	508	5.576	559
5.601	457	5.627	586
5.653	412	5.677	612
5.703	366	5.728	639
5.754	326	5.779	663
5.804	291	5.830	684
5.855	269	5.880	698
5.905	254	5.931	706
5.957	252	5.981	710
6.007	262	6.032	708
6.058	280	6.083	700
6.108	309	6.134	685
6.159	346	6.184	666
6.210	387	6.235	643
6.261	434	6.285	618
6.311	480	6.337	592
6.362	531	6.387	565
6.412	571	6.438	539
6.464	608	6.488	521
6.514	636	6.539	502
6.565	656	6.590	494
6.615	662	6.641	489
6.666	658	6.691	488
6.716	646	6.742	497
6.768	620	6.792	509
6.818	589	6.843	528
6.869	550	6.894	549
6.919	505	6.945	573
6.970	459	6.995	599
7.021	411	7.046	624
7.072	365	7.096	648
7.122	325	7.148	669
7.173	292	7.198	685
7.223	267	7.249	697
7.275	255	7.299	702
7.325	254	7.350	704
7.376	261	7.401	697
7.426	279	7.452	687
7.477	310	7.502	672
7.528	346	7.553	651
7.579	393	7.603	626
7.629	434	7.654	602
7.680	484	7.705	578
7.730	529	7.756	553
7.781	571	7.806	530
7.832	606	7.857	513
7.883	634	7.907	498
7.933	652	7.959	495
7.984	659	8.009	489
8.034	657	8.060	496
8.086	646	8.110	504
8.136	622	8.161	521
8.187	587	8.212	540
8.237	549	8.263	563
8.288	504	8.314	588
8.339	457	8.364	612
8.390	411	8.415	636
8.440	367	8.465	655
8.491	326	8.517	677
8.541	294	8.567	687
8.592	269	8.618	700
8.643	259	8.668	700
8.694	255	8.719	699
8.744	263	8.770	689
8.795	282	8.821	676
8.845	311	8.871	658
8.897	347	8.922	636
8.947	389	8.972	613
8.998	435	9.024	586
9.048	480	9.074	563
9.099	526	9.125	541
9.150	567	9.175	522
9.201	603	9.226	505
9.251	631	9.276	493
9.302	651	9.328	490
9.352	656	9.378	494
9.403	653	9.429	504
9.454	639	9.479	513
9.505	617	9.530	531
9.555	586	9.581	553
9.606	545	9.632	575
9.656	504	9.682	597
9.708	460	9.733	626
9.758	411	9.783	648
9.809	368	9.835	668
9.859	328	9.885	684
9.910	294	9.936	697
9.961	272	9.986	700
10.012	261	10.037	699
10.062	259	10.088	693
10.113	268	10.139	682
10.163	284	10.189	666
10.214	316	10.240	645
10.265	349	10.290	623
10.316	391	10.341	598
10.366	432	10.392	574
10.417	480	10.443	549
10.467	523	10.493	527
10.519	564	10.544	514
10.569	600	10.594	497
10.620	626	10.646	489
10.670	644	10.696	488
10.721	650	10.747	495
10.772	648	10.797	505
10.823	634	10.848	522
10.873	612	10.899	540
10.924	579	10.950	563
10.974	539	11.000	589
11.025	499	11.051	614
11.076	457	11.101	638
11.127	413	11.152	660
11.177	370	11.203	678
11.228	333	11.254	692
11.278	301	11.304	700
11.330	279	11.355	704
11.380	266	11.405	700
11.431	264	11.457	691
11.481	273	11.507	677
11.532	293	11.558	656
11.583	316	11.608	636
11.634	354	11.659	611
11.684	391	11.710	585
11.735	436	11.761	558
11.785	479	11.811	537
11.836	521	11.862	516
11.887	561	11.912	501
11.938	594	11.963	490
11.988	620	12.014	488
12.039	638	12.065	486
12.089	643	12.115	494
12.141	640	12.166	510
12.191	627	12.216	525
12.242	604	12.268	548
12.292	575	12.318	572
12.343	543	12.369	599
12.394	496	12.419	624
12.445	452	12.470	650
12.495	413	12.521	673
12.546	370	12.572	686
12.596	336	12.622	705
12.648	305	12.673	704
12.698	286	12.723	707
12.749	276	12.774	700
12.799	273	12.825	688
12.850	280	12.876	672
12.900	300	12.926	651
12.952	324	12.977	626
13.002	359	13.027	600
13.053	394	13.079	573
13.103	434	13.129	545
13.154	479	13.180	522
13.205	518	13.230	503
13.256	557	13.281	490
13.306	590	13.332	480
13.357	614	13.383	480
13.407	628	13.433	483
13.459	634	13.484	494
13.509	630	13.534	509
13.560	621	13.585	530
13.610	599	13.636	555
13.661	570	13.687	581
13.711	533	13.737	606
13.763	494	13.788	635
13.813	453	13.838	660
13.864	413	13.890	680
13.914	374	13.940	695
13.965	341	13.991	708
14.016	313	14.041	712
14.067	292	14.092	710
14.117	283	14.143	702
14.168	283	14.194	688
14.218	290	14.244	669
14.270	306	14.295	645
14.320	333	14.345	618
14.371	363	14.396	591
14.421	402	14.447	562
14.472	439	14.498	538
14.522	479	14.548	513
14.574	518	14.599	493
14.624	552	14.649	482
14.675	583	14.701	468
14.725	604	14.751	474
14.776	618	14.802	480
14.827	623	14.852	491
14.878	622	14.903	508
14.928	607	14.954	533
14.979	587	15.005	558
15.029	559	15.055	589
15.081	528	15.106	616
15.131	490	15.156	643
15.182	451	15.208	668
15.232	412	15.258	691
15.283	376	15.309	706
15.333	345	15.359	714
15.385	318	15.410	717
15.435	304	15.460	713
15.486	293	15.512	704
15.536	293	15.562	687
15.587	304	15.613	666
15.638	316	15.663	640
15.689	339	15.714	613
15.739	371	15.765	583
15.790	407	15.816	554
15.840	442	15.866	530
15.892	481	15.917	500
15.942	518	15.967	488
15.993	549	16.019	465
16.043	576	16.069	464
16.094	599	16.120	466
16.144	608	16.170	474
16.196	613	16.221	488
16.246	608	16.271	511
16.297	593	16.323	536
16.347	575	16.373	562
16.398	551	16.424	593
16.449	518	16.474	623
16.500	482	16.525	652
16.550	446	16.576	677
16.601	412	16.627	699
16.651	378	16.677	713
16.703	349	16.728	717
16.753	326	16.778	723
16.804	311	16.830	717
16.854	303	16.880	706
16.905	303	16.931	687
16.955	310	16.981	665
17.007	332	17.032	637
17.057	349	17.082	608
17.108	381	17.134	578
17.158	415	17.184	547
17.209	448	17.235	520
17.260	484	17.285	493
17.311	517	17.336	477
17.361	549	17.387	464
17.412	570	17.438	461
