#Creator: pendulumviewEventBuffer
#Creation time: Mon Jan 22 17:58:34 2007
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	587	0.051	927
0.077	588	0.101	928
0.127	587	0.153	927
0.178	588	0.203	921
0.228	588	0.254	898
0.280	590	0.304	862
0.330	589	0.355	814
0.381	591	0.406	755
0.431	590	0.457	693
0.482	590	0.507	624
0.533	588	0.558	566
0.584	591	0.608	500
0.634	588	0.660	450
0.685	586	0.710	405
0.735	587	0.761	369
0.787	587	0.811	348
0.837	586	0.862	341
0.888	587	0.912	349
0.938	587	0.964	369
0.989	585	1.014	398
1.039	583	1.065	441
1.091	582	1.115	492
1.141	584	1.166	552
1.192	584	1.217	604
1.242	584	1.268	678
1.293	586	1.318	731
1.344	585	1.369	788
1.395	586	1.419	835
1.445	590	1.471	871
1.496	587	1.521	894
1.546	586	1.572	901
1.598	586	1.622	895
1.648	589	1.673	874
1.699	590	1.723	843
1.749	590	1.775	798
1.800	590	1.825	744
1.850	590	1.876	683
1.902	589	1.926	620
1.952	589	1.977	555
2.003	589	2.028	498
2.053	587	2.079	449
2.104	587	2.129	402
2.155	584	2.180	371
2.206	586	2.230	346
2.256	584	2.282	340
2.307	584	2.332	349
2.357	582	2.383	366
2.409	583	2.433	399
2.459	583	2.484	440
2.510	583	2.534	494
2.560	583	2.586	546
2.611	584	2.636	609
2.661	585	2.687	672
2.713	587	2.737	733
2.763	587	2.788	785
2.814	589	2.839	831
2.864	586	2.890	865
2.915	589	2.940	885
2.966	586	2.991	893
3.017	589	3.041	884
3.067	589	3.093	864
3.118	589	3.143	833
3.168	590	3.194	783
3.220	589	3.244	730
3.270	589	3.295	671
3.321	588	3.346	608
3.371	588	3.397	547
3.422	588	3.448	490
3.472	588	3.498	440
3.524	586	3.549	397
3.574	588	3.599	365
3.625	585	3.651	346
3.675	585	3.701	340
3.726	583	3.752	349
3.777	582	3.802	370
3.828	583	3.853	402
3.878	584	3.904	444
3.929	582	3.955	493
3.979	581	4.005	550
4.031	583	4.056	610
4.081	584	4.106	671
4.132	588	4.158	730
4.182	585	4.208	783
4.233	585	4.259	828
4.283	586	4.309	857
4.335	587	4.360	880
4.385	588	4.410	883
4.436	589	4.462	875
4.486	589	4.512	853
4.537	589	4.563	821
4.588	590	4.613	775
4.639	588	4.664	721
4.689	588	4.715	660
4.740	585	4.766	601
4.790	586	4.816	541
4.842	587	4.867	485
4.892	587	4.917	436
4.943	584	4.969	395
4.993	585	5.019	364
5.044	584	5.070	348
5.094	586	5.120	343
5.146	583	5.171	354
5.196	583	5.221	375
5.247	583	5.273	407
5.297	583	5.323	449
5.348	583	5.374	498
5.399	584	5.424	556
5.450	582	5.475	615
5.500	581	5.526	674
5.551	587	5.577	731
5.601	585	5.627	781
5.653	588	5.678	823
5.703	588	5.728	852
5.754	588	5.780	874
5.804	589	5.830	875
5.855	589	5.881	865
5.906	589	5.931	844
5.957	590	5.982	809
6.007	588	6.032	765
6.058	584	6.084	712
6.108	587	6.134	655
6.159	588	6.185	594
6.210	589	6.235	536
6.261	586	6.286	483
6.312	584	6.337	437
6.362	584	6.388	397
6.413	585	6.438	365
6.464	584	6.489	348
6.515	582	6.539	345
6.565	584	6.591	359
6.616	585	6.641	380
6.666	582	6.692	413
6.718	585	6.742	454
6.768	583	6.793	505
6.819	584	6.843	560
6.869	583	6.895	620
6.920	585	6.945	676
6.970	586	6.996	733
7.022	586	7.046	778
7.072	585	7.097	821
7.123	587	7.148	849
7.173	588	7.199	863
7.224	588	7.249	867
7.275	589	7.300	855
7.326	590	7.350	834
7.376	587	7.402	800
7.427	590	7.452	753
7.477	591	7.503	703
7.529	589	7.553	645
7.579	587	7.604	586
7.630	586	7.654	530
7.680	585	7.706	479
7.731	585	7.756	433
7.781	584	7.807	398
7.833	584	7.857	366
7.883	585	7.908	354
7.934	583	7.959	354
7.984	583	8.010	364
8.035	586	8.060	386
8.086	583	8.111	418
8.137	584	8.161	461
8.187	582	8.213	510
8.238	584	8.263	564
8.288	585	8.314	623
8.340	584	8.364	680
8.390	586	8.415	730
8.441	587	8.466	780
8.491	587	8.517	817
8.542	587	8.567	845
8.592	589	8.618	860
8.644	588	8.668	857
8.694	590	8.719	848
8.745	588	8.770	827
8.795	587	8.821	791
8.846	589	8.871	747
8.897	587	8.922	692
8.948	587	8.972	640
8.998	588	9.024	581
9.049	589	9.074	525
9.099	587	9.125	476
9.151	583	9.175	428
9.201	584	9.226	395
9.252	583	9.277	370
9.302	583	9.328	358
9.353	582	9.379	359
9.403	581	9.429	372
9.455	584	9.480	390
9.505	583	9.530	427
9.556	583	9.582	467
9.606	583	9.632	516
9.657	584	9.683	569
9.708	588	9.733	628
9.759	586	9.784	680
9.809	586	9.835	734
9.860	586	9.886	778
9.910	586	9.936	813
9.962	589	9.987	841
10.012	586	10.037	853
10.063	587	10.089	852
10.113	586	10.139	840
10.164	587	10.190	817
10.214	588	10.240	782
10.266	586	10.291	739
10.316	586	10.341	688
10.367	586	10.393	633
10.417	586	10.443	579
10.468	589	10.494	523
10.519	586	10.544	474
10.570	585	10.595	432
10.620	586	10.646	397
10.671	583	10.697	373
10.721	583	10.747	362
10.773	583	10.798	364
10.823	583	10.848	377
10.874	584	10.900	403
10.924	583	10.950	431
10.975	583	11.001	474
11.026	584	11.051	526
11.077	585	11.102	574
11.127	585	11.152	629
11.178	588	11.204	684
11.228	586	11.254	734
11.279	584	11.305	777
11.330	588	11.355	813
11.381	586	11.406	836
11.431	590	11.457	848
11.482	586	11.508	845
11.532	588	11.558	831
11.584	587	11.609	809
11.634	586	11.659	775
11.685	585	11.711	731
11.735	587	11.761	679
11.786	586	11.812	626
11.837	585	11.862	571
11.888	585	11.913	519
11.938	583	11.963	472
11.989	588	12.015	432
12.039	584	12.065	399
12.090	582	12.116	375
12.141	583	12.166	366
12.192	583	12.217	369
12.243	582	12.268	383
12.293	583	12.319	410
12.344	584	12.369	441
12.395	582	12.420	481
12.446	585	12.470	527
12.496	585	12.522	581
12.547	584	12.572	635
12.597	583	12.623	688
12.649	585	12.673	735
12.699	586	12.724	777
12.750	586	12.774	809
12.800	586	12.826	833
12.851	587	12.876	842
12.901	586	12.927	841
12.953	587	12.977	823
13.003	585	13.028	801
13.054	587	13.079	763
13.104	586	13.130	721
13.155	586	13.180	674
13.206	585	13.231	619
13.257	586	13.281	565
13.307	582	13.333	516
13.358	581	13.383	470
13.408	586	13.434	430
13.460	584	13.484	400
13.510	584	13.535	378
13.561	583	13.586	372
13.611	584	13.637	374
13.662	581	13.687	391
13.712	581	13.738	413
13.764	583	13.788	445
13.814	584	13.839	487
13.865	583	13.890	534
13.915	584	13.941	585
13.966	587	13.991	638
14.017	585	14.042	690
14.068	587	14.092	736
14.118	586	14.144	777
14.169	586	14.194	808
14.219	585	14.245	827
14.271	586	14.295	836
14.321	586	14.346	831
14.372	587	14.397	819
14.422	587	14.448	792
14.473	586	14.498	760
14.523	586	14.549	714
14.575	590	14.599	664
14.625	586	14.650	612
14.676	586	14.701	559
14.726	582	14.752	513
14.777	585	14.802	467
14.828	583	14.853	431
14.879	583	14.903	399
14.929	584	14.955	381
14.980	584	15.005	375
15.030	583	15.056	381
15.082	583	15.106	393
15.132	583	15.157	418
15.183	582	15.208	452
15.233	583	15.259	494
15.284	583	15.310	540
15.334	583	15.360	591
15.386	584	15.411	642
15.436	584	15.461	692
15.487	585	15.513	735
15.537	585	15.563	777
15.588	586	15.614	804
15.639	585	15.664	819
15.690	587	15.715	831
15.740	586	15.766	824
15.791	587	15.817	811
15.841	587	15.867	784
15.893	587	15.918	750
15.943	584	15.968	707
15.994	587	16.020	659
16.044	585	16.070	607
16.095	586	16.121	557
16.146	584	16.171	508
16.197	584	16.222	468
16.247	584	16.272	428
16.298	583	16.324	402
16.348	583	16.374	384
16.399	582	16.425	380
16.450	582	16.475	386
16.501	585	16.526	400
16.551	583	16.577	426
16.602	583	16.628	457
16.652	584	16.678	501
16.704	583	16.729	547
16.754	584	16.779	595
16.805	585	16.831	646
16.855	585	16.881	695
16.906	585	16.932	740
16.957	585	16.982	776
17.008	586	17.033	803
17.058	585	17.083	820
17.109	585	17.135	824
17.159	586	17.185	819
17.210	587	17.236	803
17.261	586	17.286	777
17.312	583	17.337	741
17.362	585	17.388	698
17.413	584	17.439	654
17.463	584	17.489	601
17.515	585	17.540	553
17.565	586	17.590	507
17.616	583	17.642	461
17.666	583	17.692	429
17.717	582	17.743	404
17.768	584	17.793	387
17.819	582	17.844	385
17.869	578	17.894	391
17.920	583	17.946	405
17.970	582	17.996	433
18.021	583	18.047	465
18.072	583	18.097	508
18.123	583	18.148	555
18.173	585	18.199	601
18.224	584	18.250	649
18.274	584	18.300	696
18.326	584	18.351	740
18.376	586	18.401	774
18.427	584	18.453	800
18.477	585	18.503	816
18.528	584	18.554	820
18.579	583	18.604	813
18.630	586	18.655	798
18.680	585	18.706	769
18.731	586	18.757	734
18.781	585	18.807	693
18.832	585	18.858	642
18.883	585	18.908	595
18.934	584	18.959	548
18.985	583	19.010	503
19.035	583	19.061	464
19.086	584	19.111	431
19.137	585	19.162	406
19.188	583	19.212	390
19.238	584	19.264	388
19.289	582	19.314	396
19.339	583	19.365	413
19.391	583	19.415	439
19.441	584	19.466	473
19.492	583	19.517	516
19.542	584	19.568	559
19.593	583	19.618	606
19.643	584	19.669	653
19.695	582	19.719	699
19.745	582	19.770	740
19.796	585	19.821	773
19.846	586	19.872	796
19.897	587	19.922	812
19.948	583	19.973	814
19.999	585	20.023	808
20.049	587	20.075	790
20.100	585	20.125	761
20.150	585	20.176	724
20.202	585	20.226	683
20.252	585	20.277	636
20.303	584	20.328	591
20.353	583	20.379	544
20.404	585	20.429	500
20.454	584	20.480	462
20.506	583	20.530	431
20.556	584	20.581	409
20.607	582	20.632	395
20.657	583	20.683	395
20.708	583	20.733	400
20.759	583	20.784	416
20.810	585	20.834	445
20.860	583	20.886	476
20.911	585	20.936	519
20.961	584	20.987	563
21.013	585	21.037	611
21.063	581	21.088	658
21.114	583	21.139	701
21.164	586	21.190	741
21.215	583	21.240	773
21.266	585	21.291	795
21.317	584	21.341	807
21.367	584	21.392	809
21.418	585	21.443	801
21.468	584	21.494	783
21.519	586	21.544	758
21.570	587	21.595	720
21.621	585	21.645	677
21.671	584	21.697	633
21.722	584	21.747	585
21.772	586	21.798	540
21.824	586	21.848	498
21.874	582	21.899	461
21.925	584	21.950	429
21.975	583	22.001	409
22.026	583	22.052	399
22.077	582	22.102	398
22.128	582	22.153	405
22.178	583	22.203	424
22.229	583	22.255	451
22.279	583	22.305	484
22.330	586	22.356	526
22.381	582	22.406	570
22.432	582	22.457	615
22.482	583	22.508	661
22.533	588	22.559	703
22.583	584	22.609	741
22.635	584	22.660	772
22.685	585	22.710	788
22.736	585	22.762	800
22.786	584	22.812	804
22.837	584	22.863	796
22.888	585	22.913	776
22.939	584	22.964	749
22.989	585	23.014	713
23.040	585	23.066	671
23.090	588	23.116	627
23.141	584	23.167	581
23.192	583	23.217	535
23.243	584	23.268	495
23.293	583	23.319	460
23.344	583	23.370	430
23.394	583	23.420	408
23.446	583	23.471	403
23.496	583	23.521	403
23.547	582	23.573	411
23.597	582	23.623	428
23.648	583	23.674	458
23.699	582	23.724	490
23.750	583	23.775	529
23.800	582	23.826	575
23.851	583	23.877	620
23.901	581	23.927	664
23.952	585	23.978	705
24.003	584	24.028	741
24.054	584	24.079	775
24.104	585	24.130	787
24.155	585	24.181	799
24.205	584	24.231	800
24.257	586	24.282	790
24.307	584	24.332	769
24.358	584	24.384	740
24.408	583	24.434	705
24.459	587	24.485	663
24.510	584	24.535	621
24.561	582	24.586	575
24.611	583	24.637	533
24.662	584	24.688	493
24.712	583	24.738	458
24.763	583	24.789	433
24.814	583	24.839	414
24.865	583	24.890	406
24.915	581	24.941	405
24.966	582	24.992	416
25.016	580	25.042	436
25.068	583	25.093	464
25.118	582	25.143	498
25.169	582	25.195	537
25.219	582	25.245	580
25.270	583	25.296	624
25.321	583	25.346	670
25.372	583	25.397	709
25.422	583	25.448	743
25.473	584	25.499	768
25.523	584	25.549	788
25.574	584	25.600	796
25.625	585	25.650	793
25.676	583	25.701	784
25.726	587	25.752	763
25.777	585	25.803	734
25.827	584	25.853	699
25.879	584	25.904	659
25.929	583	25.954	617
25.980	585	26.006	569
26.030	582	26.056	529
26.081	584	26.107	492
26.132	583	26.157	458
26.183	582	26.208	432
26.233	583	26.259	415
26.284	587	26.310	410
26.334	582	26.360	411
26.386	580	26.411	422
26.436	586	26.461	441
26.487	582	26.512	470
26.537	584	26.563	498
26.588	583	26.614	540
26.638	583	26.664	586
26.690	583	26.715	627
26.740	584	26.765	671
26.791	584	26.817	709
26.841	584	26.867	742
26.892	583	26.918	767
26.943	585	26.968	784
26.994	585	27.019	791
27.044	584	27.070	789
27.095	585	27.121	778
27.145	585	27.171	756
27.197	584	27.222	731
27.247	584	27.272	692
27.298	584	27.323	650
27.348	584	27.374	611
27.399	583	27.425	567
27.449	583	27.475	526
27.501	583	27.526	490
27.551	587	27.576	458
27.602	580	27.628	434
27.652	582	27.678	418
27.703	583	27.729	412
27.754	581	27.779	416
27.805	582	27.830	427
27.855	582	27.881	449
27.906	581	27.932	474
27.956	583	27.982	510
28.008	583	28.033	547
28.058	582	28.083	593
28.109	583	28.134	633
28.159	584	28.185	673
28.210	584	28.236	711
28.260	582	28.286	742
28.312	585	28.337	765
28.362	584	28.387	782
28.413	585	28.439	786
28.463	584	28.489	783
28.514	585	28.540	769
28.565	583	28.590	750
28.616	584	28.641	722
28.666	584	28.692	687
28.717	585	28.743	645
28.767	584	28.793	605
28.819	580	28.844	561
28.869	584	28.894	521
28.920	584	28.946	487
28.970	582	28.996	457
29.021	585	29.047	433
29.071	583	29.097	422
29.123	582	29.148	417
29.173	582	29.198	421
29.224	581	29.250	433
29.274	582	29.300	456
29.325	582	29.351	482
29.376	582	29.401	516
29.427	584	29.452	553
29.477	584	29.503	596
29.528	581	29.554	637
29.578	583	29.604	677
29.630	581	29.655	711
29.680	584	29.705	743
29.731	583	29.757	768
29.781	583	29.807	778
29.832	584	29.858	782
29.882	584	29.908	781
29.934	584	29.959	765
29.984	585	30.009	742
30.035	582	30.061	715
30.085	586	30.111	678
30.136	585	30.162	640
30.187	585	30.212	598
30.238	583	30.263	558
30.288	580	30.314	520
30.339	585	30.365	486
30.389	583	30.415	459
30.441	582	30.466	436
30.491	582	30.516	421
30.542	582	30.568	419
30.592	583	30.618	421
30.643	582	30.669	438
30.693	582	30.719	459
30.745	583	30.770	487
30.795	583	30.820	522
30.846	583	30.872	559
30.896	580	30.922	601
30.947	584	30.973	639
30.999	583	31.023	679
31.049	583	31.074	713
31.100	584	31.125	742
31.150	584	31.176	765
31.201	583	31.226	778
31.252	584	31.277	781
31.303	585	31.327	774
31.353	584	31.379	760
31.404	584	31.429	738
31.454	579	31.480	707
31.506	584	31.530	672
31.556	583	31.581	635
31.607	587	31.631	593
31.657	582	31.683	554
31.708	583	31.733	515
31.758	582	31.784	483
31.810	583	31.834	458
31.860	582	31.885	437
31.911	582	31.936	424
31.961	582	31.987	424
32.012	582	32.037	429
32.063	581	32.088	443
32.114	583	32.138	465
32.164	582	32.190	494
32.215	584	32.240	527
32.265	581	32.291	564
32.317	583	32.341	605
32.367	583	32.392	643
32.418	584	32.442	679
32.468	583	32.494	712
32.519	583	32.544	742
32.569	583	32.595	762
32.621	583	32.645	770
32.671	585	32.696	775
32.722	583	32.747	771
32.772	585	32.798	754
32.823	586	32.848	734
32.874	583	32.899	701
32.925	583	32.949	668
32.975	583	33.001	628
33.026	583	33.051	589
33.076	582	33.102	551
33.128	583	33.152	513
33.178	583	33.203	482
33.229	583	33.253	457
33.279	581	33.305	439
33.330	581	33.355	428
33.380	582	33.406	423
33.432	580	33.456	433
33.482	581	33.507	449
33.533	582	33.558	470
33.583	579	33.609	499
33.634	582	33.659	533
33.685	582	33.710	569
33.736	583	33.760	610
33.786	582	33.812	647
33.837	583	33.862	685
33.887	583	33.913	717
33.939	585	33.963	741
33.989	584	34.014	759
34.040	585	34.064	770
34.090	583	34.116	772
34.141	584	34.167	766
34.191	582	34.217	748
34.243	583	34.268	726
34.293	583	34.318	695
34.344	583	34.370	662
34.394	584	34.420	622
34.445	582	34.471	586
34.496	581	34.521	546
34.547	582	34.572	510
34.597	582	34.623	482
34.648	582	34.674	457
34.698	581	34.724	440
34.750	583	34.775	433
34.800	584	34.825	431
34.851	582	34.877	437
34.901	584	34.927	454
34.952	581	34.978	476
35.002	583	35.028	504
35.054	582	35.079	538
35.104	583	35.129	576
35.155	582	35.181	612
35.205	582	35.231	650
35.256	584	35.282	686
35.307	585	35.332	716
35.358	584	35.383	741
35.408	583	35.434	757
35.459	581	35.485	768
35.509	583	35.535	768
35.561	583	35.586	760
35.611	585	35.636	741
35.662	582	35.688	719
35.712	583	35.738	690
35.763	584	35.789	657
35.813	583	35.839	618
35.865	583	35.890	582
35.915	582	35.940	543
35.966	584	35.992	510
36.016	579	36.042	481
36.067	580	36.093	457
36.118	583	36.143	442
36.169	583	36.194	435
36.219	582	36.245	433
36.270	581	36.296	442
36.320	582	36.346	459
36.372	582	36.397	481
36.422	582	36.447	509
36.473	583	36.499	542
36.523	582	36.549	581
36.574	583	36.600	617
36.624	582	36.650	654
36.676	585	36.701	688
36.726	580	36.751	716
36.777	583	36.803	740
36.827	583	36.853	755
36.878	584	36.904	762
36.929	583	36.954	759
36.980	583	37.005	754
37.030	583	37.056	737
37.081	583	37.107	711
37.131	583	37.157	682
37.183	585	37.208	649
37.233	583	37.258	612
37.284	582	37.310	575
37.334	584	37.360	538
37.385	579	37.411	508
37.435	583	37.461	479
37.487	581	37.512	458
37.537	582	37.562	441
37.588	583	37.614	438
37.638	582	37.664	440
37.689	581	37.715	444
37.740	583	37.765	464
37.791	582	37.816	487
37.842	582	37.867	516
37.892	583	37.918	548
37.943	581	37.968	585
37.994	582	38.019	623
38.045	583	38.069	655
38.095	585	38.121	692
38.146	582	38.171	718
38.196	583	38.222	738
38.248	584	38.272	753
38.298	583	38.323	762
38.349	584	38.373	763
38.399	583	38.425	750
38.450	583	38.475	734
38.500	580	38.526	707
38.552	585	38.576	675
38.602	586	38.627	644
38.653	583	38.678	605
38.703	580	38.729	572
38.754	582	38.779	536
38.805	583	38.830	505
38.856	582	38.880	478
38.906	581	38.932	461
38.957	581	38.982	448
39.007	582	39.033	440
39.059	581	39.083	441
39.109	583	39.134	453
39.160	582	39.184	469
39.210	583	39.236	493
39.261	581	39.286	522
39.311	583	39.337	555
39.363	581	39.387	591
39.413	583	39.438	625
39.464	581	39.489	660
39.514	583	39.540	690
39.565	583	39.590	722
39.616	583	39.641	740
39.667	582	39.691	751
39.717	584	39.743	759
39.768	584	39.793	753
39.818	584	39.844	744
39.870	584	39.894	727
39.920	584	39.945	702
39.971	585	39.995	671
40.021	583	40.047	641
40.072	584	40.097	603
40.122	584	40.148	567
40.174	582	40.198	534
40.224	582	40.249	504
40.275	583	40.300	480
40.325	582	40.351	459
40.376	582	40.401	450
40.427	580	40.452	442
40.478	582	40.502	445
40.528	580	40.554	456
40.579	581	40.604	474
40.629	583	40.655	499
40.681	581	40.705	527
40.731	582	40.756	559
40.782	582	40.806	594
40.832	583	40.858	629
40.883	583	40.909	663
40.933	582	40.959	692
40.985	583	41.010	720
41.035	583	41.060	737
41.086	583	41.112	749
41.136	584	41.162	754
41.187	582	41.213	751
41.238	585	41.263	739
41.289	584	41.314	721
41.339	582	41.365	696
41.390	583	41.416	665
41.440	582	41.466	632
41.492	583	41.517	598
41.542	582	41.567	567
41.593	583	41.619	529
41.643	582	41.669	503
41.694	580	41.720	477
41.744	581	41.770	460
41.796	582	41.821	451
41.846	582	41.871	446
41.897	580	41.923	449
41.947	581	41.973	461
41.998	582	42.024	478
42.049	581	42.074	503
42.100	582	42.125	533
42.150	581	42.176	562
42.201	586	42.227	601
42.251	581	42.277	634
42.303	583	42.328	665
42.353	583	42.378	693
42.404	583	42.430	719
42.454	582	42.480	737
42.505	582	42.531	747
42.555	583	42.581	752
42.607	581	42.632	748
42.657	585	42.682	733
42.708	584	42.734	715
42.758	584	42.784	695
42.809	582	42.835	661
42.860	583	42.885	628
42.911	582	42.936	594
42.961	582	42.987	560
43.012	582	43.038	531
43.062	583	43.088	501
43.114	579	43.139	478
43.164	582	43.189	461
43.215	582	43.241	453
43.265	583	43.291	449
43.316	583	43.342	453
43.366	582	43.392	465
43.418	582	43.443	484
43.468	581	43.493	507
43.519	581	43.545	538
43.569	582	43.595	568
43.620	582	43.646	612
43.671	581	43.696	635
43.722	582	43.747	668
43.772	582	43.798	696
43.823	583	43.849	719
43.873	582	43.899	736
43.925	584	43.950	743
43.975	585	44.000	749
44.026	583	44.052	742
44.076	583	44.102	728
44.127	582	44.153	708
44.178	582	44.203	686
44.229	583	44.254	656
44.279	583	44.304	624
44.330	584	44.356	589
44.380	585	44.406	557
44.431	582	44.457	524
44.482	586	44.507	500
44.533	584	44.558	478
44.583	580	44.609	461
44.634	579	44.660	454
44.684	581	44.710	452
44.736	581	44.761	456
44.786	581	44.811	472
44.837	581	44.863	488
44.887	581	44.913	509
44.938	582	44.964	542
44.989	582	45.014	571
45.040	582	45.065	607
45.090	582	45.115	638
45.141	584	45.167	669
45.191	582	45.217	698
45.242	584	45.268	719
45.293	583	45.318	734
45.344	581	45.369	742
45.395	583	45.420	747
45.445	583	45.471	738
45.496	584	45.521	725
45.547	584	45.572	705
45.598	582	45.622	682
45.648	585	45.674	650
45.699	582	45.724	615
45.749	583	45.775	586
45.801	580	45.825	553
45.851	580	45.876	523
45.902	583	45.926	497
45.952	581	45.978	475
46.003	582	46.028	462
46.053	581	46.079	457
46.105	580	46.129	451
46.155	581	46.180	463
46.206	581	46.231	471
46.256	581	46.282	494
46.307	581	46.332	518
46.358	582	46.383	547
46.409	582	46.433	579
46.459	584	46.485	610
46.510	582	46.535	642
46.560	582	46.586	671
46.612	580	46.636	699
46.662	583	46.687	721
46.713	582	46.738	734
46.763	583	46.789	741
46.814	583	46.839	740
46.864	582	46.890	733
46.916	583	46.940	721
46.966	583	46.991	699
47.017	582	47.042	675
47.067	583	47.093	645
47.118	583	47.143	613
47.169	583	47.194	582
47.220	583	47.244	550
47.270	582	47.296	522
47.321	582	47.346	497
47.371	581	47.397	476
47.423	582	47.447	462
47.473	581	47.498	456
47.524	582	47.549	458
47.574	582	47.600	468
47.625	580	47.650	478
47.675	584	47.701	498
47.727	583	47.751	523
47.777	581	47.802	551
47.828	582	47.853	583
47.878	582	47.904	614
47.929	585	47.954	645
47.980	582	48.005	673
48.031	583	48.055	696
48.081	582	48.107	717
48.132	583	48.157	729
48.182	584	48.208	738
48.234	583	48.258	738
48.284	583	48.309	729
48.335	583	48.360	714
48.385	583	48.411	694
48.436	584	48.462	669
48.486	580	48.512	640
48.538	581	48.563	609
48.588	583	48.613	580
48.639	580	48.665	547
48.689	582	48.715	516
48.740	581	48.766	497
48.791	580	48.816	477
48.842	581	48.867	464
48.892	581	48.918	462
48.943	582	48.969	461
48.993	582	49.019	468
49.045	582	49.070	483
49.095	582	49.120	503
49.146	581	49.172	528
49.196	579	49.222	557
49.247	583	49.273	587
49.298	581	49.323	619
49.349	581	49.374	648
49.399	583	49.424	676
49.450	582	49.476	699
49.500	582	49.526	717
49.551	582	49.577	732
49.602	584	49.627	736
49.653	584	49.678	734
49.703	582	49.729	725
49.754	583	49.780	710
49.804	583	49.830	689
49.856	582	49.881	666
49.906	582	49.931	636
49.957	583	49.983	604
50.007	583	50.033	575
50.058	582	50.084	543
50.109	581	50.134	517
50.160	582	50.185	491
50.210	581	50.235	479
50.261	583	50.287	467
50.311	581	50.337	461
50.362	584	50.388	465
50.413	580	50.438	473
50.464	582	50.489	487
50.514	580	50.540	508
50.565	582	50.591	531
50.615	582	50.641	561
50.667	582	50.692	593
50.717	581	50.742	623
50.768	582	50.794	650
50.818	582	50.844	677
50.869	582	50.895	699
50.920	583	50.945	718
50.971	584	50.996	728
51.021	583	51.046	733
51.072	581	51.098	730
51.122	581	51.148	718
51.173	580	51.199	706
51.224	580	51.249	682
51.275	583	51.300	661
51.325	583	51.351	636
51.376	583	51.402	601
51.426	583	51.452	572
51.478	582	51.503	542
51.528	582	51.553	518
51.579	581	51.605	494
51.629	581	51.655	477
51.680	578	51.706	468
51.731	577	51.756	464
51.782	582	51.807	467
51.832	582	51.858	476
51.883	581	51.909	492
51.933	580	51.959	511
51.984	581	52.010	536
52.035	582	52.060	567
52.086	581	52.111	592
52.137	581	52.162	624
52.187	582	52.213	653
52.238	583	52.263	679
52.289	579	52.314	701
52.340	584	52.364	717
52.390	583	52.416	726
52.441	581	52.466	730
52.491	582	52.517	728
52.543	582	52.567	718
52.593	581	52.618	699
52.644	582	52.669	680
52.694	582	52.720	652
52.745	583	52.770	628
52.795	582	52.821	597
52.847	579	52.871	568
52.897	581	52.922	539
52.948	581	52.973	514
52.998	580	53.024	494
53.049	580	53.074	479
53.100	582	53.125	469
53.151	582	53.175	467
53.201	580	53.227	470
53.252	583	53.277	476
53.302	581	53.328	496
53.354	581	53.378	517
53.404	581	53.429	541
53.455	581	53.480	570
53.505	580	53.531	599
53.556	582	53.581	629
53.606	582	53.632	656
53.658	580	53.682	680
53.708	581	53.733	700
53.759	582	53.784	716
53.809	581	53.835	724
53.860	582	53.885	727
53.911	582	53.936	723
53.962	582	53.986	712
54.012	582	54.038	696
54.063	583	54.088	677
54.113	581	54.139	649
54.165	579	54.189	622
54.215	583	54.240	593
54.266	582	54.291	564
54.316	582	54.342	538
54.367	583	54.392	513
54.418	580	54.443	493
54.469	579	54.493	483
54.519	580	54.544	471
54.570	580	54.595	470
54.620	580	54.646	478
54.671	581	54.696	483
